Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Kumasi Metropolitan,Amansie Enterprise Clinic,Clinic,,Private,6.415,-1.37548
Ashanti,Kumasi Metropolitan,Restoration Clinic,Clinic,,Private,6.415,-1.37548
Ashanti,Mampong Municipal,Calvary Health Service,Clinic,,Private,7.03397,-1.24294
Ashanti,Offinso Municipal,Offinso District Health Directorate,District Health Directorate,,Government,6.563089999999999,-1.40268
Brong Ahafo,Dormaa Municipal,Florence Maternity Home,Maternity Home,,Maternity Home,7.277284,-2.876257
Brong Ahafo,Dormaa Municipal,EMC Kwaku Any Maternity Home,Maternity Home,,Maternity Home,7.277284,-2.876257
Brong Ahafo,Tain,Nyarko Maternity Home,Maternity Home,,Private,8.0396604,-2.3813621
Brong Ahafo,Kintampo South,Adom Maternity Home,Maternity Home,,Private,7.868518300000001,-1.7538817
Brong Ahafo,Kintampo South,Apesika Clinic,Clinic,,Private,7.868518300000001,-1.7538817
Brong Ahafo,Kintampo South,Mansie Clinic,Clinic,,Private,7.868518300000001,-1.7538817
Brong Ahafo,Tano South,Brosankro Maternity Home,Maternity Home,,Private,7.1315171,-2.027319
Brong Ahafo,Jaman South,Psychiasdtric Unit,Clinic,,Government,7.6887685,-2.8577105
Brong Ahafo,Jaman South,Eye Clinic,Clinic,,Private,7.6887685,-2.8577105
Brong Ahafo,Berekum Municipal,Mercy Clinic,Clinic,,Private,7.4041716,-2.4439252999999996
Central,Mfantseman,Gods Gift Maternity Home,Maternity Home,,Private,5.204219999999999,-1.05516
Central,Mfantseman,Mercy Maternity & Fistula Women Centre,Hospital,,Private,5.204219999999999,-1.05516
Central,Mfantseman,Bethel Heamopatic CHPS,CHPS,,Government,5.204219999999999,-1.05516
Central,Mfantseman,Immuna Clinic,Clinic,,Private,5.204219999999999,-1.05516
Central,Mfantseman,Srafa Kokodo Clinic,Clinic,,Private,5.204219999999999,-1.05516
Central,Upper Denkyira East,Sunkwa Clinic,Clinic,,Private,5.81374,-1.7701900000000002
Central,Upper Denkyira East,Zion Clinic,Clinic,,Private,5.81374,-1.7701900000000002
Central,Agona East,El-Shaddai Maternity Home,Maternity Home,,Government,5.65241,-0.75572
Central,Agona East,Jonof Maternity Home,Maternity Home,,Government,5.65241,-0.75572
Central,Agona East,Agona District Health Directorate,District Health Directorate,,Government,5.65241,-0.75572
Central,Agona West Municipal,Dergewa Maternity Home,Maternity Home,,Government,5.52313,-0.70139
Central,Asikuma-Odoben-Brakwa,Ocran Maternity Home,Maternity Home,,Government,5.73664,-1.0124
Central,Awutu Senya,Marfred Maternity Home,Maternity Home,,Government,5.30355,-0.31051
Central,Awutu Senya,Mighty Crag Marternity Home,Maternity Home,,Government,5.30355,-0.31051
Central,Gomoa East,Margo Maternity Home,Maternity Home,,Private,5.52401,-0.47508
Central,Komenda-Edina-Eguafo-Abirem Municipal,Good Sheperd Maternity Home,Maternity Home,,Private,5.05282,-1.4931299999999998
Central,Komenda-Edina-Eguafo-Abirem Municipal,Bando Han-Medical Centre,Clinic,,Private,5.05282,-1.4931299999999998
Central,Komenda-Edina-Eguafo-Abirem Municipal,S.A.P CHPS,CHPS,,Government,5.05282,-1.4931299999999998
Eastern,Kweabibirem,St Micheal RCH,RCH,,Private,6.152058900000001,-0.8294002
